No,ID,Last name,First name,Gender,DOB,Social ID
1,20125004,Hoang,Hiep,M,5/1/2002,792011232
2,20125005,Le,Hiep,M,6/1/2002,792011232
3,20125006,Nguyen,Khang,M,7/1/2002,792011232
4,20125007,Nguyen,Khoa,M,8/1/2002,792011232
5,20125009,Ta,Khoi,M,9/1/2002,792011232
6,20125010,Tran,Loi,M,10/1/2002,792011232
7,20125011,Nguyen,Long,M,11/1/2002,792011232
8,20125012,Nguyen,Manh,M,12/1/2002,792011232
9,20125014,Thai,Nhat,M,13/01/2002,792011232
10,20125015,Nguyen,Phu,M,14/01/2002,792011232
11,20125017,Nguyen,Tan,M,15/01/2002,792011232
12,20125019,To,An,M,16/01/2002,792011232
13,20125021,Luong,Chau,M,17/01/2002,792011232
14,20125023,Vu,Dat,M,18/01/2002,792011232
15,20125025,Duong,Dung,M,19/01/2002,792011232
16,20125027,Phan,Duy,M,20/01/2002,792011232
17,20125029,Tu,Hoai,M,21/01/2002,792011232
18,20125031,Pham,Hoang,M,22/01/2002,792011232
19,20125032,Truong,Hoang,M,23/01/2002,792011232
20,20125033,Le,Huan,M,24/01/2002,792011232
21,20125034,Vo,Hung,M,25/01/2002,792011232
22,20125038,Le,Minh,M,26/01/2002,792011232
23,20125039,Tran,Nam,M,27/01/2002,792011232
24,20125040,Dinh,Ngan,M,28/01/2002,792011232
25,20125046,Huynh,Nhu,M,29/01/2002,792011232
26,20125048,Nguyen,Phuong,M,30/01/2002,792011232
27,20125052,Lam,Toan,M,31/01/2002,792011232
28,20125054,Van,Yen,M,1/2/2002,792011232
29,20125058,Nguyen,Hung,M,2/2/2002,792011232
30,20125059,Le,Khoi,M,3/2/2002,792011232
31,20125060,Dinh,Ky,M,4/2/2002,792011232
32,20125067,Luong,Tri,M,5/2/2002,792011232
33,20125068,Thai,Trong,M,6/2/2002,792011232
34,20125069,Tran,Viet,M,7/2/2002,792011232
35,20125081,Vo,Huynh,M,8/2/2002,792011232
36,20125090,Cao,Duy,M,9/2/2002,792011232
37,20125101,Vuong,Luong,M,10/2/2002,792011232
38,20125102,Truong,Minh,M,11/2/2002,792011232
39,20125106,Le,Phi,M,12/2/2002,792011232
40,20125111,Nguyen,Sang,M,13/02/2002,792011232
41,20125117,Nguyen,Tin,M,14/02/2002,792011232
42,20125124,Nguyen,Uyen,M,15/02/2002,792011232
43,20125126,Bui,Bao,M,16/02/2002,792011232
44,20125127,Dao,Dung,M,17/02/2002,792011232
45,20125129,Nguyen,Quoc,M,18/02/2002,792011232
