Username,Password,Lastname,Firstname,Name,Date of Birth,Gender,Phone,Email
21125006,123456,HO,DUY,HO DUY,18/02/2003,M,917550613,hkduy21@apcs.fitus.edu.vn
21125007,123456,PHAM,GIANG,PHAM GIANG,18/02/2003,M,917550613,pvmgiang21@apcs.fitus.edu.vn
21125011,123456,NGUYEN,HUY,NGUYEN HUY,18/02/2003,M,917550613,nvdhuy21@apcs.fitus.edu.vn
21125013,123456,VO,KHANG,VO KHANG,18/02/2003,M,917550613,vhpkhang21@apcs.fitus.edu.vn
21125016,123456,LE,KHOI,LE KHOI,18/02/2003,M,917550613,lnakhoi21@apcs.fitus.edu.vn
21125017,123456,NGUYEN,LY,NGUYEN LY,18/02/2003,F,917550613,nttly21@apcs.fitus.edu.vn
21125018,123456,NGUYEN,MINH,NGUYEN MINH,18/02/2003,M,917550613,nhminh21@apcs.fitus.edu.vn
21125019,123456,TU,MINH,TU MINH,18/02/2003,M,917550613,tcminh21@apcs.fitus.edu.vn
21125020,123456,DANG,NGHIA,DANG NGHIA,18/02/2003,M,917550613,dtnghia21@apcs.fitus.edu.vn
21125027,123456,HOANG,VIET,HOANG VIET,18/02/2003,M,917550613,hnviet21@apcs.fitus.edu.vn
21125028,123456,LE,VIET,LE VIET,18/02/2003,M,917550613,lviet21@apcs.fitus.edu.vn
21125029,123456,TRAN,VIET,TRAN VIET,18/02/2003,M,917550613,ttviet21@apcs.fitus.edu.vn
21125030,123456,HOANG,VINH,HOANG VINH,18/02/2003,M,917550613,hnvinh21@apcs.fitus.edu.vn
21125031,123456,NGUYEN,VINH,NGUYEN VINH,18/02/2003,M,917550613,nmvinh21@apcs.fitus.edu.vn
21125034,123456,NGUYEN,BINH,NGUYEN BINH,18/02/2003,F,917550613,ntnbinh21@apcs.fitus.edu.vn
21125042,123456,NGUYEN,HUNG,NGUYEN HUNG,18/02/2003,M,917550613,ndhung21@apcs.fitus.edu.vn
21125046,123456,NGUYEN,KHANH,NGUYEN KHANH,18/02/2003,M,917550613,ntkhanh21@apcs.fitus.edu.vn
21125054,123456,TRAN,PHAT,TRAN PHAT,18/02/2003,M,917550613,tkphat21@apcs.fitus.edu.vn
21125055,123456,HUYNH,PHUC,HUYNH PHUC,18/02/2003,M,917550613,hhphuc211@apcs.fitus.edu.vn
21125060,123456,NGUYEN,QUANG,NGUYEN QUANG,18/02/2003,M,917550613,nmquang21@apcs.fitus.edu.vn
21125076,123456,HOANG,DUC,HOANG DUC,18/02/2003,M,917550613,htduc21@apcs.fitus.edu.vn
21125082,123456,NGUYEN,NAM,NGUYEN NAM,18/02/2003,M,917550613,nnhnam21@apcs.fitus.edu.vn
21125087,123456,VUONG,PHUC,VUONG PHUC,18/02/2003,M,917550613,vqphong21@apcs.fitus.edu.vn
21125090,123456,TRAN,PHUC,TRAN PHUC,18/02/2003,M,917550613,ttphuc21@apcs.fitus.edu.vn
21125093,123456,TRAN,QUOC,TRAN QUOC,18/02/2003,M,917550613,tlquoc21@apcs.fitus.edu.vn
21125094,123456,NGUYEN,THANG,NGUYEN THANG,18/02/2003,M,917550613,nhthang21@apcs.fitus.edu.vn
21125096,123456,DANG,TRIET,DANG TRIET,18/02/2003,M,917550613,dmtriet21@apcs.fitus.edu.vn
21125098,123456,PHAN,TUNG,PHAN TUNG,18/02/2003,M,917550613,pltung21@apcs.fitus.edu.vn
21125099,123456,BUI,AN,BUI AN,18/02/2003,M,917550613,bnhan21@apcs.fitus.edu.vn
21125100,123456,NGUYEN,AN,NGUYEN AN,18/02/2003,M,917550613,nlan21@apcs.fitus.edu.vn
21125101,123456,YANG,ANH,YANG ANH,18/02/2003,M,917550613,ytanh21@apcs.fitus.edu.vn
21125103,123456,HO,BAO,HO BAO,18/02/2003,M,917550613,hmbao21@apcs.fitus.edu.vn
21125115,123456,DANG,KHIEM,DANG KHIEM,18/02/2003,M,917550613,ddkhiem21@apcs.fitus.edu.vn
21125118,123456,BUI,MINH,BUI MINH,18/02/2003,M,917550613,bvbminh21@apcs.fitus.edu.vn
21125130,123456,CHU,PHUC,CHU PHUC,18/02/2003,M,917550613,chphuc21@apcs.fitus.edu.vn
21125141,123456,TRAN,TRI,TRAN TRI,18/02/2003,M,917550613,ttmtri21@apcs.fitus.edu.vn
21125148,123456,MAI,DAT,MAI DAT,18/02/2003,M,917550613,mtdat21@apcs.fitus.edu.vn
21125154,123456,NGUYEN,NGHIA,NGUYEN NGHIA,18/02/2003,M,917550613,ntnghia21@apcs.fitus.edu.vn
21125155,123456,DIEP,NGHIEM,DIEP NGHIEM,18/02/2003,M,917550613,dtnghiem21@apcs.fitus.edu.vn
21125159,123456,NGUYEN,DUY,NGUYEN DUY,18/02/2003,M,917550613,ntduy21@apcs.fitus.edu.vn
21125161,123456,BUI,HOANG,BUI HOANG,18/02/2003,M,917550613,bnhoang21@apcs.fitus.edu.vn
21125166,123456,DO,PHUC,DO PHUC,18/02/2003,M,917550613,dtphuc21@apcs.fitus.edu.vn
21125167,123456,NGUYEN,TRONG,NGUYEN TRONG,18/02/2003,M,917550613,nhtrong21@apcs.fitus.edu.vn
21125170,123456,HO,PHAT,HO PHAT,18/02/2003,M,917550613,hnvphat21@apcs.fitus.edu.vn
21125171,123456,NGUYEN,TUNG,NGUYEN TUNG,18/02/2003,M,917550613,ndtung21@apcs.fitus.edu.vn
21125172,123456,HUYNH,HAO,HUYNH HAO,18/02/2003,M,917550613,htnhao21@apcs.fitus.edu.vn
